chave_acesso,url_completa,data_leitura,fonte
52251055296152000175650020000682421401179330,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650020000682421401179330|2|1|1|F8A72C66E5BE57B48DD7151E7345592EC77BDC9B,2025-10-18 18:21:14,Upload Manual
52251055296152000175650040000264311730458635,https://nfeweb.sefaz.go.gov.br/nfeweb/sites/nfce/danfeNFCe?p=52251055296152000175650040000264311730458635|2|1|1|8390219A557CF9136E3524CE4EADD6F9C2B4E8C7,2025-10-18 18:23:04,Upload Manual
